Date,Close
8/9/2016,80.06
8/10/2016,79.68
8/11/2016,80.12
8/12/2016,80.02
8/15/2016,80.91
8/16/2016,80.81
8/17/2016,80.84
8/18/2016,80.27
8/19/2016,80.47
8/22/2016,81.06
8/23/2016,80.8
8/24/2016,80.29
8/25/2016,80.32
8/26/2016,80.57
8/29/2016,80.87
8/30/2016,81.17
8/31/2016,80.9
9/1/2016,81.3
9/2/2016,82
9/6/2016,82.53
9/7/2016,83.24
9/8/2016,82.97
9/9/2016,81.33
9/12/2016,82.97
9/13/2016,81.89
9/14/2016,81.49
9/15/2016,82.01
9/16/2016,82.07
9/19/2016,82.51
9/20/2016,82.48
9/21/2016,83.22
9/22/2016,83.36
9/23/2016,82.54
9/26/2016,81.81
9/27/2016,82.16
9/28/2016,82.97
9/29/2016,81.92
9/30/2016,82.7
10/3/2016,82.86
10/4/2016,82.73
10/5/2016,83.35
10/6/2016,83.36
10/7/2016,82.88
10/10/2016,83.12
10/11/2016,82.04
10/12/2016,82.25
10/13/2016,81.87
10/14/2016,82.45
10/17/2016,82.15
10/18/2016,81.58
10/19/2016,82.81
10/20/2016,82.5
10/21/2016,82.35
10/24/2016,83.17
10/25/2016,82.03
10/26/2016,81.75
10/27/2016,81.92
10/28/2016,82.22
10/31/2016,82.51
11/1/2016,81.62
11/2/2016,80.58
11/3/2016,80.65
11/4/2016,80.36
11/7/2016,82.51
11/8/2016,82.88
11/9/2016,83.24
11/10/2016,81.87
11/11/2016,81.88
11/14/2016,78.38
11/15/2016,78.57
11/16/2016,80.08
11/17/2016,81.07
11/18/2016,80.82
11/21/2016,81.69
11/22/2016,79.93
11/23/2016,79.57
11/25/2016,80.13
11/28/2016,79.08
11/29/2016,79.15
11/30/2016,77.32
12/1/2016,75.43
12/2/2016,75.72
12/5/2016,77.31
12/6/2016,77.11
12/7/2016,79.31
12/8/2016,79.28
12/9/2016,79.14
12/12/2016,78.5
12/13/2016,79.2
12/14/2016,79.13
12/15/2016,79.5
12/16/2016,78.35
12/19/2016,78.1
12/20/2016,78.36
12/21/2016,78.14
12/22/2016,77.9
12/23/2016,78.15
12/27/2016,78.35
12/28/2016,78.3
12/29/2016,78.33
12/30/2016,78.02
1/3/2017,79.5
1/4/2017,80.15
1/5/2017,81.09
1/6/2017,82.21
1/9/2017,81.75
1/10/2017,81.31
1/11/2017,81.8
1/12/2017,81.37
1/13/2017,81.17
1/17/2017,81.26
1/18/2017,81.59
1/19/2017,81.73
1/20/2017,81.84
1/23/2017,82.15
1/24/2017,83.23
1/25/2017,83.9
1/26/2017,83.24
1/27/2017,83.77
1/30/2017,83.7
1/31/2017,82.71
2/1/2017,82.44
2/2/2017,82.3
2/3/2017,86.08
2/6/2017,85.83
2/7/2017,85.78
2/8/2017,85.09
2/9/2017,85.58
2/10/2017,85.9
2/13/2017,86.44
2/14/2017,86.85
2/15/2017,87.54
2/16/2017,87.41
2/17/2017,87.46
2/21/2017,87.92
2/22/2017,87.8
2/23/2017,88.18
2/24/2017,88.43
2/27/2017,88
2/28/2017,87.94
3/1/2017,88.99
3/2/2017,88.53
3/3/2017,88.79
3/6/2017,88.94
3/7/2017,89.06
3/8/2017,88.96
3/9/2017,89.11
3/10/2017,89.73
3/13/2017,90.11
3/14/2017,89.55
3/15/2017,89.92
3/16/2017,90.04
3/17/2017,90.24
3/20/2017,89.18
3/21/2017,88.06
3/22/2017,88.52
3/23/2017,88.86
3/24/2017,89.19
3/27/2017,88.95
3/28/2017,89.12
3/29/2017,89.18
3/30/2017,89.01
3/31/2017,88.87
4/3/2017,89.36
4/4/2017,88.78
4/5/2017,89.03
4/6/2017,89.09
4/7/2017,88.74
4/10/2017,88.86
4/11/2017,88.85
4/12/2017,88.68
4/13/2017,88.87
4/17/2017,89.81
4/18/2017,89.73
4/19/2017,89.75
4/20/2017,91.15
4/21/2017,91.15
4/24/2017,91.85
4/25/2017,92.11
4/26/2017,91.82
4/27/2017,91.6
4/28/2017,91.22
5/1/2017,91.26
5/2/2017,92.54
5/3/2017,92.44
5/4/2017,92.62
5/5/2017,92.09
5/8/2017,91.92
5/9/2017,92
5/10/2017,92.25
5/11/2017,92.1
5/12/2017,92.73
5/15/2017,93.23
5/16/2017,93.15
5/17/2017,91.76
5/18/2017,91.71
5/19/2017,92.48
5/22/2017,93.31
5/23/2017,93.86
5/24/2017,94.81
5/25/2017,95.04
5/26/2017,94.67
5/30/2017,94.72
5/31/2017,95.23
6/1/2017,95.4
6/2/2017,96.15
6/5/2017,96.55
6/6/2017,95.79
6/7/2017,96.09
6/8/2017,96.09
6/9/2017,94.56
6/12/2017,93.5
6/13/2017,95.08
6/14/2017,95.32
6/15/2017,94.17
6/16/2017,94.17
6/19/2017,94.79
6/20/2017,94.38
6/21/2017,94.54
6/22/2017,93.95
6/23/2017,95.58
6/26/2017,95.22
6/27/2017,94.9
6/28/2017,96.23
6/29/2017,94.42
6/30/2017,93.78
7/3/2017,93.35
7/5/2017,94.01
7/6/2017,93.25
7/7/2017,93.92
7/10/2017,95.09
7/11/2017,95.41
7/12/2017,96.18
7/13/2017,95.94
7/14/2017,96.93
7/17/2017,96.83
7/18/2017,97.58
7/19/2017,98.25
7/20/2017,98.11
7/21/2017,99.6
7/24/2017,100.37
7/25/2017,99.99
7/26/2017,100.85
7/27/2017,99.57
7/28/2017,99.15
7/31/2017,99.56
8/1/2017,100.87
8/2/2017,101.28
8/3/2017,100.59
8/4/2017,100.89
8/7/2017,101.49
8/8/2017,101.28
8/9/2017,100.97
8/10/2017,99.49
8/11/2017,100.09
8/14/2017,101.87
8/15/2017,102.63
8/16/2017,103.32
8/17/2017,102.16
8/18/2017,102.51
8/21/2017,103.22
8/22/2017,104.07
